epoch,accuracy,loss,val_accuracy,val_loss
0,0.8241463899612427,0.5425980091094971,0.8374999761581421,0.5733276009559631
1,0.8578442335128784,0.4500124156475067,0.831250011920929,0.5080015063285828
2,0.8736889362335205,0.39617231488227844,0.8812500238418579,0.48200124502182007
3,0.8821691870689392,0.36531221866607666,0.875,0.43885236978530884
4,0.8995760083198547,0.32904377579689026,0.8999999761581421,0.4434996545314789
5,0.9060477614402771,0.29903462529182434,0.8500000238418579,0.5120812058448792
6,0.9105110168457031,0.2831222414970398,0.8999999761581421,0.416194349527359
7,0.9187681078910828,0.2603834867477417,0.8999999761581421,0.4029706120491028
8,0.9176523089408875,0.26657727360725403,0.856249988079071,0.4471498429775238
9,0.9160901308059692,0.26480358839035034,0.8999999761581421,0.3874833881855011
